exp_num,launch_mode,manip_order,condition_B,condition_C,sys_time,exp_time,process_name,lure,block_index,trial_index,stim_index,duration,rt,sn,choice,confidence,note
50,1440p_flscr,1,null,null,2025-03-27_19:50:57,1401.2454202999943,formal_punish_MS,punish_FA,3,16,6,0.75,1.9044218999915756,0,1,3,null
50,1440p_flscr,1,null,null,2025-03-27_19:51:03,1407.9756372999982,formal_punish_MS,punish_FA,3,17,10,0.75,1.397854400012875,1,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:51:12,1416.5789506,formal_punish_MS,punish_FA,3,18,7,0.75,2.7656988999806345,0,0,-2,null
50,1440p_flscr,1,null,null,2025-03-27_19:51:19,1423.6760370999982,formal_punish_MS,punish_FA,3,19,11,0.75,1.8626679999870248,1,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:51:27,1431.7167752999812,formal_punish_MS,punish_FA,3,20,8,0.75,2.7216797999863047,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:51:35,1439.730266300001,formal_punish_MS,punish_FA,3,21,9,0.75,2.749844900012249,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:51:42,1446.983234299987,formal_punish_MS,punish_FA,3,22,10,0.75,1.864163299993379,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:51:51,1455.86186059998,formal_punish_MS,punish_FA,3,23,12,0.75,3.4915176999929827,1,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:51:59,1463.4810157999746,formal_punish_MS,punish_FA,3,24,11,0.75,2.4288595999823883,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:52:09,1473.1236051000014,formal_punish_MS,punish_FA,3,25,12,0.75,3.9914818000106607,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:52:15,1479.9318674999813,formal_punish_MS,punish_FA,3,26,13,0.75,1.355639199988218,1,1,1,null
50,1440p_flscr,1,null,null,2025-03-27_19:52:23,1487.2469397999812,formal_punish_MS,punish_FA,3,27,13,0.75,1.9036625000007916,0,1,2,null
50,1440p_flscr,1,null,null,2025-03-27_19:52:30,1494.5518152999866,formal_punish_MS,punish_FA,3,28,14,0.75,1.9947756999754347,0,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:52:38,1502.2146255999978,formal_punish_MS,punish_FA,3,29,14,0.75,1.5547593999945093,1,0,-1,null
50,1440p_flscr,1,null,null,2025-03-27_19:52:44,1508.688354199985,formal_punish_MS,punish_FA,3,30,15,0.75,1.2624631999933627,0,1,1,null
